TFile *_file0 = TFile::Open("/eos/project/c/cms-ecal-calibration/www/Run2_hotspot_studies/hot_channels_list_v2.root")
tHotspots->Scan("ix:iy:iz:istatus:iworst","istatus > 0")
************************************************************************************************************
*    Row   *        ix *        iy *        iz *     iring *       eta *       phi *   istatus *    iworst *
*    11419 *        64 *        56 *         1 *        35 * 2.6991663 * 0.3881305 *         2 *         0 *
*    11497 *        62 *        57 *         1 *        36 * 2.7964029 * 0.5130688 *         2 *         0 *
*    11575 *        40 *        58 *         1 *        37 * 2.8198351 * 2.5239715 *         2 *         0 *
*    11577 *        60 *        58 *         1 *        37 * 2.8845222 * 0.6684320 *         3 *         0 *
*    11656 *        39 *        59 *         1 *        35 * 2.7186996 * 2.5079813 *         2 *         0 *
*    11659 *        42 *        59 *         1 *        38 * 2.8909838 * 2.3589117 *         1 *         1 *
*    11743 *        42 *        60 *         1 *        37 * 2.8354368 * 2.3039286 *         1 *         0 *
*    11826 *        42 *        61 *         1 *        36 * 2.7739591 * 2.2499992 *         2 *         0 *
*    11827 *        43 *        61 *         1 *        37 * 2.8201196 * 2.1912169 *         2 *         0 *
*    11830 *        56 *        61 *         1 *        38 * 2.9041345 * 1.0858489 *         3 *         0 *
*    11831 *        57 *        61 *         1 *        37 * 2.8613100 * 1.0155525 *         3 *         0 *
*    11911 *        43 *        62 *         1 *        36 * 2.7580232 * 2.1487104 *         2 *         0 *
*    11915 *        47 *        62 *         1 *        38 * 2.8906018 * 1.8664727 *         3 *         0 *
*    11917 *        49 *        62 *         1 *        38 * 2.9244446 * 1.7030725 *         3 *         0 *
*    11918 *        50 *        62 *         1 *        38 * 2.9327273 * 1.6177254 *         3 *         0 *
*    12010 *        48 *        63 *         1 *        37 * 2.8334453 * 1.7694816 *         3 *         0 *
*    12011 *        49 *        63 *         1 *        37 * 2.8443715 * 1.6924507 *         3 *         0 *
*    12098 *        42 *        64 *         1 *        34 * 2.6110060 * 2.1331884 *         2 *         0 *
*    12099 *        43 *        64 *         1 *        34 * 2.6432733 * 2.0796771 *         2 *         0 *
*    12192 *        42 *        65 *         1 *        33 * 2.5603416 * 2.1018097 *         2 *         0 *
*    12193 *        43 *        65 *         1 *        33 * 2.5883953 * 2.0501742 *         2 *         1 *
*    12194 *        44 *        65 *         1 *        34 * 2.6157901 * 1.9946245 *         2 *         0 *
*    14323 *        26 *        92 *         1 *         2 * 1.5411527 * 2.1008086 *         1 *         0 *
************************************************************************************************************
==> 88 selected entries
